,id,listing_url,experiences_offered,neighborhood_overview,notes,transit,interaction,house_rules,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,amenities,price,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,L_Year,L_Month,L_Date
8,16580,https://www.airbnb.com/rooms/16580,none,East Village/ Alphabet City has tons of cafes and bars and is a great place to explore the rest of the city from.,"Please note this room shares a bathroom with the other guest room. Also note that the terrace is upstairs outside the hosts bedroom, please be aware of noise and privacy. Thanks!","The L train is about a 10+ min walk, but please ask us for the quickest route! You can also hop on the bus right at the end of the street to take you straight to the station, which takes under 10 min (+ you get a free transfer with your metro card). And if you're feeling adventurous you can rent a citi bike on the block. Thanks for taking a look!","Unless traveling for work, we'll usually meet at least when you arrive. But I'm always available to give recommendations and help out any way I can.","No smoking inside the apartment, but you're welcome to smoke outside on the terrace. Also, please be respectful when you use the terrace, as it is outside of the hosts bedroom.",64442,within an hour,100%,99%,t,1.0,1.0,Manhattan,10009,40.726490000000005,-73.97904,Condominium,Private room,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Gym,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed""}",80.0,402,63,2013-08-22,2020-06-21,95.0,10.0,9.0,10.0,9.0,4.8,2020,06,21
14,19159,https://www.airbnb.com/rooms/19159,none,"After walking all day downtown in the crowded streets, when I get out at my subway stop uptown I feel happy to be in my neighborhood, calmer, more friendly, lively and spacious. I walk home and I finally relax, I feel I am in the City, 20 minutes away from Colombus Circle…. but yet in my lovely quiet home. The neighborhood has become gentrified, there are now lots of new lovely restaurants and coffee shops. Some Art Galleries and new stores. My Gym is at 158th street, a great and inexpensive giant club. The supermarket is across Broadway, two blocks away. Fairways is at 134th street and for major food shopping is the best! On 145th there is my Bikrham Yoga club, the farmacy, the hardware sore, a library…. I find everything I need close by.",New double plate induction hotplate and a big multi function microwave.  Cable Tv has been istalled.,"Train N. 1 at 3 blocks distance, 3 minutes walk. It connects to the express train N. 2 or 3 on 96th street. Train A/B/C/D: at W 145th St (at St. Nicholas Ave, 10/15 minutes walk) Bus: M4 and M5",I will always be available on phone or email in order to help if necessary.,"1) Check in between 12 and 7pm. 2) Check out between 8:30am and 12:30pm 3) The door of the apartment has to be closed with both locks each time you go out. Be careful not to go out without the keys because the door locks itself and you may be locked out. I am providing  complete sets of keys: if you loose one I would ask you 50$ refund to replicate the lost set. 4) No private party in the apartment, no extra guests. 5) Garbage has to be brought downstairs everyday in the specific garbage dump of the building ( to avoid cockroaches) : also garbage is divided in 2 different bags: organic and general. 6) please keep music, voice, on a moderate volume 7) if you use air conditioned turn it off when you go out of the apartment otherwise electrical bill will show an extra expense that I would have to charge extra if it is exaggerated. 8) Children under age of 12 are not allowed. 10) NO CHECK IN on Sunday  11) LONG TERM GUESTS: my assistant will clean apartment and change linen every 2 weeks. ",73051,within a few hours,100%,100%,t,2.0,2.0,Manhattan,10031,40.82915,-73.95136,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",110.0,56,2,2010-06-24,2020-04-30,94.0,10.0,10.0,8.0,9.0,0.46,2020,04,30
17,25696,https://www.airbnb.com/rooms/25696,none,It's full of energy and character.,"I'm often asked about the safety of the neighborhood. Harlem has changed a lot in the past several years. It is safe to walk around day or night, alone or in a group.  The security deposit will be refunded as long as the house rules are followed. I dont have many rules. The two most important of these rules: You absolutely MUST keep the shared bathroom clean. This means cleaning out the drain trap after every shower whether you wash your hair or not. This means not leaving hair on the floor of the bathroom. And this means not leaving the bathroom mirror dirty after every use. The second important rule is following the recycling rules. I don't want to keep your deposit. This is not some way for me to make more money. I genuinely want you to feel relaxed and welcome in my home. Some rules are necessary for good co-habitation, even short term. Unfortunately, having a fine seems to make people more responsible.",The apartment is 4 blocks from the express 2/3 train.,as much or little as you want,No smoking in the apartment.  You will be expected to do wash all your own dishes with soap. You will be expected to follow the recycling rules. You may not leave any hair in the bathroom.,107628,within an hour,100%,100%,f,1.0,1.0,Manhattan,10027,40.8104,-73.94309,Apartment,Private room,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Gym,""Pets live on this property"",Cat(s),Elevator,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Paid parking on premises"",""Baking sheet""}",100.0,190,20,2010-11-02,2020-01-01,95.0,10.0,10.0,10.0,9.0,1.61,2020,01,01
23,29683,https://www.airbnb.com/rooms/29683,none,"NoHo is perfectly situated downtown Manhattan. You're nestled right in between East Village and SoHo. You can walk everywhere and experience the amazing energy on the streets. Some of NYC's best restaurants and bars are right outside the door. Neighborhood: Location, location, location! Best spot to stay in Manhattan! Right in between East Village, NoHo, SOhO, Nolita & Lower East Side. Hundreds of restaurants...some of NYC's best, as well as bars & cafe's. Just a few minutes walk from SoHo, Fifth Avenue & Broadway, perfect for shopping. Most hot-spots are also within walking distance. The F subway station is right across the street, otherwise 3 other subway stations are nearby and buses and cabs are right outside the door.","The apartment is on the 4th floor, which in the US is 3 flights of stairs.  Please note there is no elevator/lift in the building. So if you're elderly or have difficulties climbing stairs, this may not be for you.",There is access to NYC's subway right across the street and 3 other subway stations nearby.,"I am always available via phone, sms or email with any questions you might have during your stay.",CHECK-IN IS POSSIBLE BETWEEN 5PM - 12AM.  PLEASE NOTE THAT I ALWAYS LIKE TO CALL MY GUESTS PRIOR TO THEIR ARRIVAL TO GO OVER POTENTIAL QUESTIONS & CONCERNS FOR BOTH THE GUESTS AND HOST.,125857,within an hour,100%,64%,f,1.0,1.0,Manhattan,10003,40.72392,-73.99143000000001,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke alarm"",""Carbon monoxide alarm"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Long term stays allowed"",Other}",185.0,103,30,2010-05-26,2020-07-05,96.0,10.0,10.0,10.0,9.0,0.84,2020,07,05
24,31130,https://www.airbnb.com/rooms/31130,none,"Central Park, TimeWarner center on Columbus Circle, Lincoln Center, Times Square, Rockefeller Center, Radio city, Broadway theaters, Carnegie Hall, Fifth Avenue shopping, gourmet restaurants in Hells kitchen or Upper West side, best Museums and much more! 24 hours CVS pharmacy and dinner restaurant on a corner,... 11 subway lines to get around all 5 boroughs of NYC. The apartment is right off Columbus Circle.",I want you to enjoy your stay in my apartment so please don't hesitate to reach out with any questions in order to help to plan your trip.  Look forward to your inquiries.,"Subways: 1,2,3,A,C,E,F,R,N,Q,W. Bus, rent a Citi Bike.",by phone anytime.,"* Picture ID is required upon arrival. * I meet my guests upon their arrival in the apartment to welcome them and help to get oriented in the apartment and aria. * Please tell me where you are coming from and a reason for your visit to NYC at the time of your request. If possible, provide me with your arrival and departure time. * Landry is across a street, not in the building. Its open from 7am to 7pm. DROP OFF business, you can get you cloth back the same day or next morning. Price is the same as you would pay to do it your self; here you actually don't need to spend your time doing it. * No smoking  * No pets",117287,within an hour,100%,80%,t,3.0,3.0,Manhattan,10019,40.767540000000004,-73.98399,Apartment,Private room,"{Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Long term stays allowed"",""Host greets you"",""Trash can""}",130.0,66,16,2010-06-21,2020-06-02,97.0,10.0,10.0,10.0,10.0,0.54,2020,06,02
32,54860,https://www.airbnb.com/rooms/54860,none,,"We try not to overbook, however occasionally it happens so we have added check-in and check-out times. Check out time  is 12:00 noon. Of course, we will work with our guests as we can to accommodate travel plans, especially later departure times.  Just let us know.  If somehow another guest overlaps we can keep your luggage safe until you need it. Check in time is anytime after 3:00 p.m. Earlier check-in can be accommodated, as long as the previous guests have departed the day before and it is arranged a few days ahead of time.","Close to 2, 3 and 6 trains.  Walking distance to Metro North. The easiest airport to get to and from is La Guardia, you can take a local bus from the airport, the M60, to Park Avenue and walk to the house from there, or take the 6 train one stop.  It's about a 20 minute ride.  You'll need to by a MetroCard at the airport. There are a number of ways to get here from JFK.   The best least expensive way to get to the house from JFK airport is to take the AirTrain directly from the airport to Jamaica Station and get the subway E train from there into Manhattan.  The first stop in Manhattan is the Lexington Avenue 51/53rd Street station, from there transfer to the 6 train and go uptown to 116th Street.  The house is two blocks from the 6 train station.  It's $7.75 per person. For information about a bus: Look up NYC Airporter.  It's $18 one way per person or $34 round trip. NYC Airporter is the official bus operator of the DOT & The Port Authority of New York & New Jersey.  They provide exp",We can leave coffee outside your door if you'd like it in the morning.  We'll change linens when asked.  Interaction depends on the guest.  We're happy to help with any questions you may have and give a tour of subway stops and local shops.,Enjoy.,258164,within an hour,100%,100%,t,1.0,1.0,Manhattan,10035,40.79958,-73.94275,Apartment,Private room,"{Internet,Wifi,""Air conditioning"",""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop-friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed"",""Host greets you""}",100.0,228,24,2010-10-22,2020-03-20,97.0,10.0,10.0,9.0,10.0,1.93,2020,03,20
35,57754,https://www.airbnb.com/rooms/57754,none,"It's safe, and the ""hottest"" in NYC right now, sometimes called ""NoMad"" because of its proximity to Madison Park, home of the original Shake Shack and a sweet small park. Its basically at the border of Gramercy and Flatiron. In nice weather you can walk anywhere - ten minutes to Chelsea, East Village, etc. The nearby architecture is lovely, the streets are clean and sidewalks not too crowded.  Curry Hill is a block to the east, with great Indian food and groceries... Eataly is a block to the west, a must-visit Italian market with fresh fish/meat/produce and a bunch of mini-restaurants. Tons of great restaurants nearby. And if avant-garde fashion is your thing, Dover Street NY is very cool and very close.",,"The 6 train and the N/R are 1 blk away, so you have the rare treat of being east but able to get to the west side pretty easily. Express buses run up and down Park and Madison Avenues, great for museum trips. There's a Citibike dock right across the street.","Guests enjoy total privacy - it's their apartment - although I am just a text or email away should they need anything. Note that I do live in this apartment - it's not a ""vacation property.""","The main rule is the Golden Rule - please treat the apartment and building with respect. In addition, no parties and no overnight guests that haven't been previously approved by me. A book in the apartment provides check-out procedures, wireless access codes, appliance instructions, arrival/departure instructions etc. Also there are takeout menus, my own neighborhood guide and several other city/neighborhood guides.",275578,within an hour,100%,82%,t,1.0,1.0,Manhattan,10010,40.7403,-73.98498000000001,Loft,Entire home/apt,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets live on this property"",Cat(s),Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,Other,""Shower gel""}",195.0,119,11,2011-05-24,2020-01-23,99.0,10.0,10.0,10.0,10.0,1.07,2020,01,23
36,57874,https://www.airbnb.com/rooms/57874,none,"Fantastic and vibrant neighborhood. Area highlights include Apollo Theater, Red Rooster, Sylvia's, Studio Museum of Harlem, The Schomburg and Central Park.  Central location providing easy access to all areas of the city while still retaining a neighborhood feel. Definitely not a small village but a welcome respite from the mad rush of the city center.",,"The apartment is centrally located: best way around NYC is via subway. - 9 subway lines within a 10 minute walk from the apartment. - multiple bus lines are within a 5 minute walk, including the M60 to LGA airport - 3 CitiBike bike rental stations/kiosks within a 5 minute walk - For those driving, easy access to RFK/Tri-Boro and George Washington Bridges, I87 and I95 Highways - 7 minute walk to MetroNorth Railroad at 125 Street",We pride ourselves on helping our guests have a great visit. We are always reachable via phone/app/text/email etc.,"Thank you for your interest in the Brownstone! Check in/Check out will be handled by owner/agent at the apartment. Check-in is generally at 2pm local time. Check-out is generally at 12 noon. These times can be adjusted to match your arrival/departure schedule if there is no conflict with an existing apartment booking. We reserve the right to ask for a damage/security deposit at the time of check-in or at time of reservation. The owner/agent will do a walk-thru of the apartment with you at check-in to confirm that the apartment is in the condition that you expected. You will be provided with keys to the apartment and instructions for operating the appliances/electronics.    At check-out, a second walk-thru will be done to asses the status of the apartment and provided that there is no damage, your security deposit will be returned to you. The apartment will be cleaned prior to your check-in and upon check-out, it is expected that you will leave the apartment in the same condition with u",276291,within an hour,100%,100%,t,2.0,2.0,Manhattan,10027,40.809309999999996,-73.94343,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke alarm"",""Carbon monoxide alarm"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics""}",155.0,253,29,2010-11-08,2020-06-02,97.0,10.0,10.0,10.0,10.0,2.15,2020,06,02
37,58059,https://www.airbnb.com/rooms/58059,none,"Architectural beauty, historic, well developed, safe, peaceful, less expensive than downtown, restaurants, environmentally friendly-several parks nearby,  less traffic, and noise pollution. Within walking distance of the Hudson and North east Central Park. Close to the center!!! Times Square is only three train stops away!!!",.,"Three subway stations service the neighborhood and several buses. Main subway station, is around the corner from the apartment, less than a two minute walk away. Transportation runs 24/7. Easy access from all three major aiprorts: JFK, La Guardia and NEWARK.","Am always available to answer any questions or concerns. I respond immediately, and assist with planning your itinerary.","No drugs. Smoking outside, or out the front window.  No pets in the apartment, but a cat or a small well trained dog is allowed. Please inquire about bringing a pet, prior to reserving. Please make sure to lock the apartment door, upon leaving and entering the apartment.  No loitering anywhere on the property: front steps, vestibule, nor lobby. The apartment faces and overlooks, a long stretch of gorgeous park.. there are park benches, a few steps away from the property.  SHOELESS HOME: Please make sure to wipe feet on the mat feet prior entering the apartment. Please leave shoes at the door. Trekking in dirt and bacteria, is abrasive therefore, corrosive to the hardwood floor, and unsanitary. Thank you!  No roof access, please do not go up to the roof. There’s a boogie man up there.  Thank you and enjoy your stay!",277379,within an hour,100%,99%,t,2.0,2.0,Manhattan,10031,40.8251,-73.94287,Apartment,Private room,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Paid parking off premises"",""Pets allowed"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Outlet covers"",""Window guards"",""Babysitter recommendations"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Cleaning before checkout"",""No stairs or steps to enter"",""Host greets you"",""Shower gel"",""Baking sheet"",""Trash can""}",60.0,512,52,2011-04-25,2020-03-15,94.0,10.0,10.0,10.0,10.0,4.57,2020,03,15
48,66251,https://www.airbnb.com/rooms/66251,none,,"Please note that the building is on a major street (1st avenue) so while this means you are in the heart of the East Village, there will be some street noise   even with two sets of soundproof windows.  The apartment itself is above a dive bar on the ground floor.  Low level of music can be heard at night but it is never loud or distracting.  Most guests remark how quiet it is in the apartment given the location but if you are extremely sensitive to any noise this might not be the best place for you.","The apartment is located in a vibrant, safe, downtown neighborhood known for its great dining and nightlife and is only a 5-10 minute walk to the F, L, 6, R, and N subway stations. In just minutes you can walk to the Lower East Side, Soho, Little Italy, Chinatown, Nolita, Alphabet City, Union Square, Gramercy, Bowery, and Greenwich Village, and you're just one subway stop away from exploring Williamsburg in Brooklyn.  This apartment is a great base from which to explore all that New York City has to offer.",I am available if you need help with the apartment or would like local recommendations.,"Please leave the apartment the way you found it. A fully refundable security deposit of $1000 is required, payable at the time of booking.  The amount will be refunded in full once I confirm that the apartment and its contents were not damaged. No smoking is allowed in the apartment.   Please remove shoes before entering the apartment as the floors scratch easily. No loud music or piano playing should occur after 10pm.  This includes the outdoor patio. No trash bags in the stairwell.  Please do not put anything on the refrigerator, including magnets.  Please do not flush anything other than toilet paper in the toilet.   No illegal file-sharing/Bittorrent usage is permitted.  You are liable for any damages due to copyright infringement during your stay.   No drinks on the piano.   For security please make sure the front door of the building is shut completely behind you.",324460,within a day,100%,89%,t,2.0,2.0,Manhattan,10009,40.72681,-73.98534000000001,Loft,Entire home/apt,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Heating,Washer,""Smoke alarm"",""Carbon monoxide alarm"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,Bathtub,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Baking sheet""}",212.0,90,23,2015-04-26,2020-03-13,99.0,10.0,10.0,10.0,10.0,1.42,2020,03,13
